Year;PP;PP.min;PP.max;Herb.Zoopk;Herb.Zoopk.min;Herb.Zoopk.max;Omni.Zoopk;Omni.Zoopk.min;OmniZoopk.max;Benthos;Benthos.min;Benthos.max;Pelagics;Pelagics.min;Pelagics.max;Demersals;Demersals.min;Demersals.max;Mammals;Mammals.min;Mammals.max;Birds;Birds.min;Birds.max
1988.0;0.0;0.0;0.0;0.0;0.0;0.0;48.7;48.7;48.7;0.0;0.0;0.0;114.2;114.2;114.2;545.9;545.9;545.9;10.8;10.8;10.8;0.0;0.0;0.0
1989.0;0.0;0.0;0.0;0.0;0.0;0.0;62.7;62.7;62.7;0.0;0.0;0.0;123.0;123.0;123.0;414.0;414.0;414.0;6.5;6.5;6.5;0.0;0.0;0.0
1990.0;0.0;0.0;0.0;0.0;0.0;0.0;81.2;81.2;81.2;0.0;0.0;0.0;95.9;95.9;95.9;274.3;274.3;274.3;6.3;6.3;6.3;0.0;0.0;0.0
1991.0;0.0;0.0;0.0;0.0;0.0;0.0;74.9;74.9;74.9;0.0;0.0;0.0;1036.3;1036.3;1036.3;403.9;403.9;403.9;6.3;6.3;6.3;0.0;0.0;0.0
1992.0;0.0;0.0;0.0;0.0;0.0;0.0;68.6;68.6;68.6;0.0;0.0;0.0;1271.2;1271.2;1271.2;588.5;588.5;588.5;6.0;6.0;6.0;0.0;0.0;0.0
1993.0;0.0;0.0;0.0;0.0;0.0;0.0;56.3;56.3;56.3;0.0;0.0;0.0;792.4;792.4;792.4;677.2;677.2;677.2;7.1;7.1;7.1;0.0;0.0;0.0
1994.0;0.0;0.0;0.0;0.0;0.0;0.0;28.3;28.3;28.3;0.0;0.0;0.0;153.1;153.1;153.1;918.9;918.9;918.9;7.5;7.5;7.5;0.0;0.0;0.0
1995.0;0.0;0.0;0.0;0.0;0.0;0.0;25.2;25.2;25.2;0.0;0.0;0.0;191.7;191.7;191.7;892.7;892.7;892.7;6.3;6.3;6.3;0.0;0.0;0.0
1996.0;0.0;0.0;0.0;0.0;0.0;0.0;34.5;34.5;34.5;0.0;0.0;0.0;192.1;192.1;192.1;918.2;918.2;918.2;7.8;7.8;7.8;0.0;0.0;0.0
1997.0;0.0;0.0;0.0;0.0;0.0;0.0;35.7;35.7;35.7;0.0;0.0;0.0;151.4;151.4;151.4;925.0;925.0;925.0;7.7;7.7;7.7;0.0;0.0;0.0
1998.0;0.0;0.0;0.0;0.0;0.0;0.0;55.8;55.8;55.8;0.0;0.0;0.0;157.8;157.8;157.8;707.6;707.6;707.6;4.3;4.3;4.3;0.0;0.0;0.0
1999.0;0.0;0.0;0.0;0.0;0.0;0.0;75.7;75.7;75.7;0.0;0.0;0.0;273.1;273.1;273.1;579.4;579.4;579.4;7.5;7.5;7.5;0.0;0.0;0.0
2000.0;0.0;0.0;0.0;0.0;0.0;0.0;83.2;83.2;83.2;0.0;0.0;0.0;585.5;585.5;585.5;494.0;494.0;494.0;8.5;8.5;8.5;0.0;0.0;0.0
2001.0;0.0;0.0;0.0;0.0;0.0;0.0;57.5;57.5;57.5;0.0;0.0;0.0;745.1;745.1;745.1;534.0;534.0;534.0;8.7;8.7;8.7;0.0;0.0;0.0
2002.0;0.0;0.0;0.0;0.0;0.0;0.0;61.5;61.5;61.5;0.0;0.0;0.0;843.4;843.4;843.4;657.0;657.0;657.0;8.1;8.1;8.1;0.0;0.0;0.0
2003.0;0.0;0.0;0.0;0.0;0.0;0.0;39.2;39.2;39.2;0.0;0.0;0.0;482.9;482.9;482.9;693.5;693.5;693.5;9.1;9.1;9.1;0.0;0.0;0.0
2004.0;0.0;0.0;0.0;0.0;0.0;0.0;42.7;42.7;42.7;0.0;0.0;0.0;166.2;166.2;166.2;769.5;769.5;769.5;2.2;2.2;2.2;0.0;0.0;0.0
2005.0;0.0;0.0;0.0;0.0;0.0;0.0;42.6;42.6;42.6;0.0;0.0;0.0;202.0;202.0;202.0;807.5;807.5;807.5;6.5;6.5;6.5;0.0;0.0;0.0
2006.0;0.0;0.0;0.0;0.0;0.0;0.0;29.6;29.6;29.6;0.0;0.0;0.0;229.1;229.1;229.1;724.3;724.3;724.3;5.1;5.1;5.1;0.0;0.0;0.0
2007.0;0.0;0.0;0.0;0.0;0.0;0.0;29.9;29.9;29.9;0.0;0.0;0.0;229.9;229.9;229.9;668.7;668.7;668.7;4.2;4.2;4.2;0.0;0.0;0.0
2008.0;0.0;0.0;0.0;0.0;0.0;0.0;28.2;28.2;28.2;0.0;0.0;0.0;204.9;204.9;204.9;632.7;632.7;632.7;4.1;4.1;4.1;0.0;0.0;0.0
2009.0;0.0;0.0;0.0;0.0;0.0;0.0;27.3;27.3;27.3;0.0;0.0;0.0;485.9;485.9;485.9;733.3;733.3;733.3;2.2;2.2;2.2;0.0;0.0;0.0
2010.0;0.0;0.0;0.0;0.0;0.0;0.0;25.2;25.2;25.2;0.0;0.0;0.0;545.2;545.2;545.2;871.1;871.1;871.1;2.2;2.2;2.2;0.0;0.0;0.0
2011.0;0.0;0.0;0.0;0.0;0.0;0.0;30.2;30.2;30.2;0.0;0.0;0.0;536.2;536.2;536.2;1042.8;1042.8;1042.8;2.6;2.6;2.6;0.0;0.0;0.0
2012.0;0.0;0.0;0.0;0.0;0.0;0.0;24.8;24.8;24.8;0.0;0.0;0.0;457.0;457.0;457.0;1053.7;1053.7;1053.7;2.3;2.3;2.3;0.0;0.0;0.0
2013.0;0.0;0.0;0.0;0.0;0.0;0.0;19.2;19.2;19.2;0.0;0.0;0.0;308.8;308.8;308.8;1169.2;1169.2;1169.2;3.0;3.0;3.0;0.0;0.0;0.0
